Nome;Lat;Lon;DISTRITO;GRUPONATUREZA;ENSINOS
Escola Básica e Secundária Vale d’Este, Viatodos, Barcelos;41.45591;-8.56236;Braga;Público;CDE
Escola Básica e Secundária de Vale do Tamel, Lijó, Barcelos;41.562042;-8.607846;Braga;Público;ABCDE
Escola Básica e Secundária de Vila Cova, Barcelos;41.549477;-8.70831;Braga;Público;BCDE
Escola Básica Gonçalo Nunes, Arcozelo, Barcelos;41.537777;-8.61668;Braga;Público;CD
Escola Básica Rosa Ramalho, Barcelinhos, Barcelos;41.524265;-8.626699;Braga;Público;CD
"Colégio ""D. Diogo de Sousa""";41.55746;-8.415959;Braga;Privado;ABCDE
Colégio João Paulo II;41.567287;-8.436701;Braga;Privado;ABCDE
Colégio Luso-Internacional de Braga;41.570045;-8.38852;Braga;Privado;ABCDE
Colégio Teresiano;41.55561;-8.410681;Braga;Privado;ABCD
Conservatório Bomfim;41.5459;-8.423841;Braga;Privado;M
Escola Artística do Conservatório de Música Calouste Gulbenkian, Braga;41.552868;-8.409926;Braga;Público;BCDEM
Escola Europeia de Ensino Profissional;41.547886;-8.433973;Braga;Privado;O
Escola Profissional de Braga;41.53828;-8.423859;Braga;Privado;O
Escola Profissional Profitecla (Deleg.);41.545235;-8.421854;Braga;Privado;DO
Esprominho - Escola Profissional do Minho (Sede);41.540127;-8.37248;Braga;Privado;DO
"Externato ""Carvalho Araújo""";41.558662;-8.440571;Braga;Privado;DE
"Externato ""Infante D. Henrique""";41.494843;-8.496439;Braga;Privado;BCDE
"Externato ""Paulo VI""";41.55222;-8.420723;Braga;Privado;ABCD
Escola Básica de Nogueira, Braga;41.528551648272;-8.412469625473;Braga;Público;CD
Escola Secundária Alberto Sampaio, Braga;41.543674;-8.413988;Braga;Público;DE
Escola Básica André Soares, Braga;41.546906;-8.416557;Braga;Público;CD
Escola Básica de Gualtar, Braga;41.56696;-8.388032;Braga;Público;CD
Escola Secundária Carlos Amarante, Braga;41.55061;-8.413698;Braga;Público;DE
Escola Básica de Lamaçães, Braga;41.546947;-8.4024;Braga;Público;CD
Escola Secundária D. Maria II, Braga;41.548656;-8.41807;Braga;Público;DE
Escola Básica de Braga Oeste, Cabreiros, Braga;41.53749;-8.490248;Braga;Público;CD
Escola Básica de Celeirós, Braga;41.51132;-8.448066;Braga;Público;CD
Escola Básica Frei Caetano Brandão, Maximinos, Braga;41.540363;-8.4400215;Braga;Público;CD
